train test method run dataset classifier noPoints
0.997912317327766 0.955882352941177 peakDegree 26 breast-cancer-wisconsin svmRadial 8
1 0.985294117647059 peakDegree 30 breast-cancer-wisconsin rf 11
0.97286012526096 0.980392156862745 peakDegree 28 breast-cancer-wisconsin rpart 12
1 0.96078431372549 peakDegree 11 breast-cancer-wisconsin rf 10
0.970772442588727 0.955882352941177 peakDegree 16 breast-cancer-wisconsin rpart 5
0.979123173277662 0.965686274509804 peakDegree 4 breast-cancer-wisconsin rpart 15
0.964509394572025 0.980392156862745 peakDegree 27 breast-cancer-wisconsin rpart 11
0.979123173277662 0.965686274509804 peakDegree 21 breast-cancer-wisconsin rpart 14
0.964509394572025 0.980392156862745 peakDegree 19 breast-cancer-wisconsin rpart 10
1 0.970588235294118 peakDegree 6 breast-cancer-wisconsin rf 8
0.970772442588727 0.985294117647059 peakDegree 30 breast-cancer-wisconsin rpart 11
0.977035490605428 0.965686274509804 peakDegree 11 breast-cancer-wisconsin rpart 10
1 0.980392156862745 peakDegree 17 breast-cancer-wisconsin rf 12
0.97286012526096 0.970588235294118 peakDegree 6 breast-cancer-wisconsin rpart 8
1 0.970588235294118 peakDegree 22 breast-cancer-wisconsin rf 10
1 0.990196078431373 peakDegree 15 breast-cancer-wisconsin rf 11
0.964509394572025 0.975490196078431 peakDegree 17 breast-cancer-wisconsin rpart 12
0.966597077244259 0.985294117647059 peakDegree 22 breast-cancer-wisconsin rpart 10
0.966597077244259 0.980392156862745 peakDegree 15 breast-cancer-wisconsin rpart 11
1 0.980392156862745 peakDegree 26 breast-cancer-wisconsin rf 8
0.968684759916493 0.970588235294118 peakDegree 26 breast-cancer-wisconsin rpart 8
0.605944391179291 0.54875283446712 peakDegree 8 yeast knn 7
0.585810162991371 0.564625850340136 peakDegree 21 yeast knn 7
0.595397890699904 0.392290249433107 peakDegree 30 yeast knn 3
0.518696069031639 0.45578231292517 peakDegree 15 yeast knn 5
0.632790028763183 0.587301587301587 peakDegree 21 yeast svmRadial 7
0.671140939597315 0.578231292517007 peakDegree 8 yeast svmRadial 7
0.577181208053691 0.53968253968254 peakDegree 14 yeast knn 6
0.603068072866731 0.512471655328798 peakDegree 23 yeast knn 7
0.562799616490892 0.44671201814059 peakDegree 30 yeast svmRadial 3
1 0.596371882086168 peakDegree 21 yeast rf 7
1 0.596371882086168 peakDegree 8 yeast rf 7
0.559923298178332 0.492063492063492 peakDegree 21 yeast rpart 7
0.676893576222435 0.521541950113379 peakDegree 15 yeast svmRadial 5
0.522531160115053 0.467120181405896 peakDegree 8 yeast rpart 7
1 0.401360544217687 peakDegree 30 yeast rf 3
0.506232023010546 0.392290249433107 peakDegree 30 yeast rpart 3
1 0.498866213151927 peakDegree 15 yeast rf 5
0.548418024928092 0.467120181405896 peakDegree 15 yeast rpart 5
0.661553211888782 0.564625850340136 peakDegree 14 yeast svmRadial 6
1 0.560090702947846 peakDegree 14 yeast rf 6
0.558964525407478 0.469387755102041 peakDegree 14 yeast rpart 6
0.696069031639501 0.598639455782313 peakDegree 23 yeast svmRadial 7
1 0.555555555555556 peakDegree 23 yeast rf 7
0.571428571428571 0.519274376417234 peakDegree 23 yeast rpart 7
0.588686481303931 0.519274376417234 peakDegree 5 yeast knn 5
0.551294343240652 0.492063492063492 peakDegree 16 yeast knn 6
0.529242569511026 0.421768707482993 peakDegree 1 yeast knn 5
0.571428571428571 0.469387755102041 peakDegree 6 yeast knn 4
0.574304889741131 0.485260770975057 peakDegree 28 yeast knn 7
0.576222435282838 0.526077097505669 peakDegree 25 yeast knn 5
0.546500479386385 0.514739229024943 peakDegree 20 yeast knn 5
0.539789069990412 0.503401360544218 peakDegree 3 yeast knn 4
0.580057526366251 0.496598639455782 peakDegree 22 yeast knn 6
0.629913710450623 0.575963718820862 peakDegree 5 yeast svmRadial 5
0.644295302013423 0.530612244897959 peakDegree 16 yeast svmRadial 6
0.609779482262704 0.469387755102041 peakDegree 6 yeast svmRadial 4
0.632790028763183 0.514739229024943 peakDegree 4 yeast knn 6
0.663470757430489 0.526077097505669 peakDegree 1 yeast svmRadial 5
0.583892617449664 0.555555555555556 peakDegree 11 yeast knn 6
0.60882070949185 0.485260770975057 peakDegree 10 yeast knn 4
0.702780441035475 0.523809523809524 peakDegree 28 yeast svmRadial 7
0.644295302013423 0.507936507936508 peakDegree 29 yeast knn 6
1 0.458049886621315 peakDegree 6 yeast rf 4
1 0.55328798185941 peakDegree 5 yeast rf 5
0.671140939597315 0.478458049886621 peakDegree 26 yeast knn 6
0.592521572387344 0.458049886621315 peakDegree 6 yeast rpart 4
0.568552253116012 0.503401360544218 peakDegree 5 yeast rpart 5
0.539789069990412 0.448979591836735 peakDegree 2 yeast knn 5
0.651965484180249 0.517006802721088 peakDegree 25 yeast svmRadial 5
1 0.510204081632653 peakDegree 1 yeast rf 5
0.63183125599233 0.541950113378685 peakDegree 20 yeast svmRadial 5
0.479386385426654 0.421768707482993 peakDegree 1 yeast rpart 5
0.624161073825503 0.517006802721088 peakDegree 19 yeast knn 7
1 0.555555555555556 peakDegree 16 yeast rf 6
0.538830297219559 0.458049886621315 peakDegree 16 yeast rpart 6
0.529242569511026 0.433106575963719 peakDegree 24 yeast knn 6
0.588686481303931 0.541950113378685 peakDegree 12 yeast knn 7
0.612655800575264 0.535147392290249 peakDegree 3 yeast svmRadial 4
0.662511984659636 0.54421768707483 peakDegree 22 yeast svmRadial 6
0.605944391179291 0.469387755102041 peakDegree 13 yeast knn 5
0.61169702780441 0.405895691609977 peakDegree 17 yeast knn 4
0.594439117929051 0.526077097505669 peakDegree 18 yeast knn 7
0.674976030680729 0.560090702947846 peakDegree 4 yeast svmRadial 6
0.542665388302972 0.560090702947846 peakDegree 9 yeast knn 7
0.60882070949185 0.555555555555556 peakDegree 11 yeast svmRadial 6
1 0.510204081632653 peakDegree 20 yeast rf 5
1 0.521541950113379 peakDegree 25 yeast rf 5
0.51581975071908 0.46031746031746 peakDegree 20 yeast rpart 5
1 0.54421768707483 peakDegree 3 yeast rf 4
0.551294343240652 0.496598639455782 peakDegree 25 yeast rpart 5
1 0.557823129251701 peakDegree 28 yeast rf 7
0.509108341323106 0.462585034013605 peakDegree 3 yeast rpart 4
0.592521572387344 0.448979591836735 peakDegree 28 yeast rpart 7
0.570469798657718 0.575963718820862 peakDegree 27 yeast knn 8
0.647171620325983 0.503401360544218 peakDegree 10 yeast svmRadial 4
0.665388302972196 0.532879818594104 peakDegree 29 yeast svmRadial 6
1 0.551020408163265 peakDegree 22 yeast rf 6
0.705656759348035 0.521541950113379 peakDegree 26 yeast svmRadial 6
0.580057526366251 0.471655328798186 peakDegree 22 yeast rpart 6
1 0.55328798185941 peakDegree 4 yeast rf 6
0.659635666347076 0.510204081632653 peakDegree 2 yeast svmRadial 5
0.663470757430489 0.532879818594104 peakDegree 19 yeast svmRadial 7
0.581975071907958 0.473922902494331 peakDegree 4 yeast rpart 6
0.689357622243528 0.485260770975057 peakDegree 24 yeast svmRadial 6
1 0.519274376417234 peakDegree 10 yeast rf 4
0.730584851390221 0.562358276643991 peakDegree 12 yeast svmRadial 7
0.567593480345158 0.435374149659864 peakDegree 10 yeast rpart 4
0.646212847555129 0.464852607709751 peakDegree 17 yeast svmRadial 4
0.64046021093001 0.528344671201814 peakDegree 13 yeast svmRadial 5
1 0.546485260770975 peakDegree 11 yeast rf 6
0.561840843720038 0.528344671201814 peakDegree 11 yeast rpart 6
0.703739213806328 0.564625850340136 peakDegree 18 yeast svmRadial 7
1 0.54875283446712 peakDegree 29 yeast rf 6
0.607861936720997 0.494331065759637 peakDegree 29 yeast rpart 6
1 0.494331065759637 peakDegree 2 yeast rf 5
0.720038350910834 0.600907029478458 peakDegree 9 yeast svmRadial 7
1 0.496598639455782 peakDegree 17 yeast rf 4
0.4928092042186 0.433106575963719 peakDegree 2 yeast rpart 5
0.527325023969319 0.417233560090703 peakDegree 17 yeast rpart 4
1 0.512471655328798 peakDegree 26 yeast rf 6
0.566634707574305 0.482993197278912 peakDegree 26 yeast rpart 6
1 0.546485260770975 peakDegree 19 yeast rf 7
1 0.555555555555556 peakDegree 13 yeast rf 5
0.586768935762224 0.469387755102041 peakDegree 19 yeast rpart 7
0.521572387344199 0.471655328798186 peakDegree 13 yeast rpart 5
0.586768935762224 0.473922902494331 peakDegree 7 yeast knn 6
1 0.494331065759637 peakDegree 24 yeast rf 6
0.581016299137105 0.45124716553288 peakDegree 24 yeast rpart 6
1 0.591836734693878 peakDegree 12 yeast rf 7
0.556088207094918 0.53968253968254 peakDegree 12 yeast rpart 7
1 0.560090702947846 peakDegree 18 yeast rf 7
0.677852348993289 0.573696145124717 peakDegree 27 yeast svmRadial 8
0.550335570469799 0.467120181405896 peakDegree 18 yeast rpart 7
1 0.566893424036281 peakDegree 9 yeast rf 7
0.528283796740173 0.482993197278912 peakDegree 9 yeast rpart 7
1 0.591836734693878 peakDegree 27 yeast rf 8
0.553211888782359 0.507936507936508 peakDegree 27 yeast rpart 8
0.700862895493768 0.530612244897959 peakDegree 7 yeast svmRadial 6
1 0.546485260770975 peakDegree 7 yeast rf 6
0.575263662511985 0.428571428571429 peakDegree 7 yeast rpart 6
0.712418300653595 0.754098360655738 peakDegree 21 glass knn 14
0.797385620915033 0.672131147540984 peakDegree 8 glass knn 15
0.843137254901961 0.754098360655738 peakDegree 21 glass svmRadial 14
0.751633986928105 0.737704918032787 peakDegree 30 glass knn 15
0.901960784313726 0.622950819672131 peakDegree 8 glass svmRadial 15
0.947712418300654 0.721311475409836 peakDegree 30 glass svmRadial 15
1 0.737704918032787 peakDegree 21 glass rf 14
0.673202614379085 0.60655737704918 peakDegree 21 glass rpart 14
1 0.590163934426229 peakDegree 8 glass rf 15
0.581699346405229 0.590163934426229 peakDegree 8 glass rpart 15
1 0.737704918032787 peakDegree 30 glass rf 15
0.764705882352941 0.557377049180328 peakDegree 15 glass knn 17
0.607843137254902 0.655737704918033 peakDegree 30 glass rpart 15
0.915032679738562 0.655737704918033 peakDegree 15 glass svmRadial 17
1 0.704918032786885 peakDegree 15 glass rf 17
0.725490196078431 0.688524590163934 peakDegree 15 glass rpart 17
0.718954248366013 0.655737704918033 peakDegree 14 glass knn 13
0.875816993464052 0.655737704918033 peakDegree 14 glass svmRadial 13
1 0.721311475409836 peakDegree 14 glass rf 13
0.673202614379085 0.590163934426229 peakDegree 14 glass rpart 13
0.77124183006536 0.754098360655738 peakDegree 23 glass knn 13
0.869281045751634 0.721311475409836 peakDegree 23 glass svmRadial 13
1 0.737704918032787 peakDegree 23 glass rf 13
0.73202614379085 0.491803278688525 peakDegree 23 glass rpart 13
0.699346405228758 0.639344262295082 peakDegree 5 glass knn 16
0.777777777777778 0.622950819672131 peakDegree 6 glass knn 18
0.836601307189543 0.655737704918033 peakDegree 5 glass svmRadial 16
0.745098039215686 0.688524590163934 peakDegree 1 glass knn 15
0.836601307189543 0.688524590163934 peakDegree 6 glass svmRadial 18
0.908496732026144 0.672131147540984 peakDegree 1 glass svmRadial 15
0.77124183006536 0.655737704918033 peakDegree 16 glass knn 10
1 0.688524590163934 peakDegree 5 glass rf 16
0.588235294117647 0.573770491803279 peakDegree 5 glass rpart 16
0.790849673202614 0.688524590163934 peakDegree 16 glass svmRadial 10
1 0.721311475409836 peakDegree 6 glass rf 18
0.666666666666667 0.573770491803279 peakDegree 6 glass rpart 18
